,choice,success,time,id
0,1,True,0,0
1,1,True,1,0
2,1,True,2,0
3,1,True,3,0
4,1,True,4,0
5,1,True,5,0
6,1,True,6,0
7,1,False,7,0
8,0,True,8,0
9,1,True,9,0
10,1,True,10,0
11,1,True,11,0
12,1,True,12,0
13,1,True,13,0
14,1,True,14,0
15,1,True,15,0
16,1,True,16,0
17,0,True,17,0
18,1,True,18,0
19,1,True,19,0
20,1,True,20,0
21,1,False,21,0
22,1,True,22,0
23,1,False,23,0
24,1,True,24,0
25,1,True,25,0
26,1,False,26,0
27,0,False,27,0
28,1,True,28,0
29,1,False,29,0
30,0,False,30,0
31,1,False,31,0
32,0,False,32,0
33,1,False,33,0
34,1,False,34,0
35,1,True,35,0
36,1,True,36,0
37,1,False,37,0
38,0,False,38,0
39,1,False,39,0
40,0,False,40,0
41,0,True,41,0
42,1,True,42,0
43,1,False,43,0
44,1,True,44,0
45,1,True,45,0
46,0,True,46,0
47,1,False,47,0
48,1,False,48,0
49,1,False,49,0
50,0,False,50,0
51,1,True,51,0
52,0,True,52,0
53,1,True,53,0
54,0,True,54,0
55,0,True,55,0
56,1,True,56,0
57,1,True,57,0
58,1,True,58,0
59,1,True,59,0
60,1,True,60,0
61,1,True,61,0
62,1,True,62,0
63,0,False,63,0
64,1,True,64,0
65,1,True,65,0
66,1,True,66,0
67,1,True,67,0
68,1,True,68,0
69,1,True,69,0
70,1,True,70,0
71,1,True,71,0
72,1,True,72,0
73,1,True,73,0
74,1,True,74,0
75,1,True,75,0
76,1,True,76,0
77,1,True,77,0
78,1,True,78,0
79,1,False,79,0
80,1,True,80,0
81,1,True,81,0
82,1,True,82,0
83,0,False,83,0
84,1,False,84,0
85,1,False,85,0
86,1,False,86,0
87,1,False,87,0
88,0,True,88,0
89,1,False,89,0
90,0,True,90,0
91,0,False,91,0
92,1,True,92,0
93,1,True,93,0
94,1,True,94,0
95,1,False,95,0
96,0,True,96,0
97,1,True,97,0
98,0,False,98,0
99,0,False,99,0
100,1,True,100,0
101,1,False,101,0
102,0,False,102,0
103,1,True,103,0
104,1,True,104,0
105,1,False,105,0
106,1,True,106,0
107,0,True,107,0
108,1,True,108,0
109,1,True,109,0
110,1,True,110,0
111,1,True,111,0
112,1,True,112,0
113,1,False,113,0
114,1,True,114,0
115,1,False,115,0
116,1,False,116,0
117,0,False,117,0
118,1,True,118,0
119,1,True,119,0
120,1,False,120,0
121,1,False,121,0
122,1,True,122,0
123,1,False,123,0
124,0,False,124,0
125,1,True,125,0
126,1,True,126,0
127,1,False,127,0
128,1,True,128,0
129,1,True,129,0
130,1,False,130,0
131,0,True,131,0
132,1,True,132,0
133,1,True,133,0
134,0,False,134,0
135,1,True,135,0
136,1,True,136,0
137,1,True,137,0
138,1,True,138,0
139,1,True,139,0
140,1,True,140,0
141,1,False,141,0
142,1,False,142,0
143,1,True,143,0
144,1,True,144,0
145,1,False,145,0
146,1,False,146,0
147,1,False,147,0
148,0,True,148,0
149,1,True,149,0
150,1,True,150,0
151,1,False,151,0
152,1,False,152,0
153,0,False,153,0
154,1,False,154,0
155,1,False,155,0
156,0,False,156,0
157,1,False,157,0
158,0,True,158,0
159,1,True,159,0
160,0,False,160,0
161,0,False,161,0
162,0,False,162,0
163,1,True,163,0
164,1,True,164,0
165,1,True,165,0
166,1,True,166,0
167,1,True,167,0
168,1,True,168,0
169,1,True,169,0
170,1,False,170,0
171,1,False,171,0
172,1,False,172,0
173,1,True,173,0
174,1,True,174,0
175,1,False,175,0
176,1,True,176,0
177,1,True,177,0
178,1,False,178,0
179,1,True,179,0
180,1,True,180,0
181,1,True,181,0
182,1,True,182,0
183,1,True,183,0
184,1,True,184,0
185,1,True,185,0
186,1,True,186,0
187,1,False,187,0
188,1,True,188,0
189,1,True,189,0
190,1,True,190,0
191,1,True,191,0
192,1,True,192,0
193,1,False,193,0
194,1,True,194,0
195,1,True,195,0
196,1,True,196,0
197,1,True,197,0
198,1,True,198,0
199,1,False,199,0
200,1,True,200,0
201,1,True,201,0
202,1,True,202,0
203,1,False,203,0
204,1,False,204,0
205,0,False,205,0
206,1,True,206,0
207,1,True,207,0
208,1,False,208,0
209,1,True,209,0
210,1,True,210,0
211,1,False,211,0
212,1,True,212,0
213,1,False,213,0
214,1,True,214,0
215,1,True,215,0
216,1,True,216,0
217,1,True,217,0
218,1,True,218,0
219,1,True,219,0
220,1,True,220,0
221,1,False,221,0
222,1,True,222,0
223,1,True,223,0
224,1,True,224,0
225,1,True,225,0
226,1,False,226,0
227,1,False,227,0
228,1,False,228,0
229,1,True,229,0
230,1,True,230,0
231,1,True,231,0
232,1,False,232,0
233,1,True,233,0
234,1,False,234,0
235,1,True,235,0
236,1,True,236,0
237,1,True,237,0
238,1,True,238,0
239,1,True,239,0
240,1,True,240,0
241,1,True,241,0
242,1,True,242,0
243,1,True,243,0
244,1,True,244,0
245,1,True,245,0
246,1,True,246,0
247,1,True,247,0
248,1,True,248,0
249,1,True,249,0
250,1,True,250,0
251,1,True,251,0
252,1,True,252,0
253,1,False,253,0
254,1,True,254,0
255,1,True,255,0
256,1,True,256,0
257,1,True,257,0
258,1,True,258,0
259,1,True,259,0
260,1,True,260,0
261,1,True,261,0
262,1,True,262,0
263,1,True,263,0
